ep: 0, loss: 2.080e+02, elps: 2.726
ep: 10, loss: 3.469e+00, elps: 2.451
ep: 20, loss: 1.069e+00, elps: 2.374
ep: 30, loss: 8.202e-01, elps: 2.383
ep: 40, loss: 8.005e-01, elps: 2.398
ep: 50, loss: 7.941e-01, elps: 2.397
ep: 60, loss: 7.886e-01, elps: 2.384
ep: 70, loss: 7.842e-01, elps: 2.352
ep: 80, loss: 7.779e-01, elps: 2.380
ep: 90, loss: 7.704e-01, elps: 2.378
ep: 100, loss: 7.602e-01, elps: 2.388
ep: 110, loss: 7.471e-01, elps: 2.361
ep: 120, loss: 7.280e-01, elps: 2.390
ep: 130, loss: 6.991e-01, elps: 2.387
ep: 140, loss: 6.433e-01, elps: 2.389
ep: 150, loss: 4.993e-01, elps: 2.374
ep: 160, loss: 3.314e-01, elps: 2.371
ep: 170, loss: 3.156e-01, elps: 2.388
ep: 180, loss: 3.048e-01, elps: 2.364
ep: 190, loss: 2.920e-01, elps: 2.372
ep: 200, loss: 2.858e-01, elps: 2.417
ep: 210, loss: 2.812e-01, elps: 2.416
ep: 220, loss: 2.766e-01, elps: 2.356
ep: 230, loss: 2.720e-01, elps: 2.377
ep: 240, loss: 2.667e-01, elps: 2.400
ep: 250, loss: 2.632e-01, elps: 2.394
ep: 260, loss: 2.589e-01, elps: 2.378
ep: 270, loss: 2.521e-01, elps: 2.387
ep: 280, loss: 2.467e-01, elps: 2.382
ep: 290, loss: 2.409e-01, elps: 2.388
ep: 300, loss: 2.377e-01, elps: 2.420
ep: 310, loss: 2.338e-01, elps: 2.384
ep: 320, loss: 2.273e-01, elps: 2.374
ep: 330, loss: 2.234e-01, elps: 2.422
ep: 340, loss: 2.224e-01, elps: 2.380
ep: 350, loss: 2.190e-01, elps: 2.402
ep: 360, loss: 2.138e-01, elps: 2.408
ep: 370, loss: 2.119e-01, elps: 2.402
ep: 380, loss: 2.133e-01, elps: 2.395
ep: 390, loss: 2.095e-01, elps: 2.419
ep: 400, loss: 2.101e-01, elps: 2.400
ep: 410, loss: 2.072e-01, elps: 2.438
ep: 420, loss: 2.081e-01, elps: 2.430
ep: 430, loss: 2.045e-01, elps: 2.413
ep: 440, loss: 2.049e-01, elps: 2.386
ep: 450, loss: 2.055e-01, elps: 2.422
ep: 460, loss: 1.997e-01, elps: 2.425
ep: 470, loss: 2.012e-01, elps: 2.404
ep: 480, loss: 1.972e-01, elps: 2.406
ep: 490, loss: 1.992e-01, elps: 2.405
ep: 500, loss: 1.958e-01, elps: 2.425
ep: 510, loss: 1.982e-01, elps: 2.386
ep: 520, loss: 1.971e-01, elps: 2.398
ep: 530, loss: 2.003e-01, elps: 2.380
ep: 540, loss: 1.951e-01, elps: 2.435
ep: 550, loss: 1.924e-01, elps: 2.405
ep: 560, loss: 1.920e-01, elps: 2.399
ep: 570, loss: 1.951e-01, elps: 2.391
ep: 580, loss: 1.950e-01, elps: 2.403
ep: 590, loss: 1.870e-01, elps: 2.385
ep: 600, loss: 1.874e-01, elps: 2.384
ep: 610, loss: 1.886e-01, elps: 2.410
ep: 620, loss: 1.824e-01, elps: 2.418
ep: 630, loss: 1.975e-01, elps: 2.400
ep: 640, loss: 1.780e-01, elps: 2.384
ep: 650, loss: 2.099e-01, elps: 2.399
ep: 660, loss: 1.885e-01, elps: 2.386
ep: 670, loss: 1.973e-01, elps: 2.410
ep: 680, loss: 1.849e-01, elps: 2.378
ep: 690, loss: 1.750e-01, elps: 2.410
ep: 700, loss: 1.936e-01, elps: 2.408
ep: 710, loss: 2.615e-01, elps: 2.404
ep: 720, loss: 1.835e-01, elps: 2.432
