ep: 0, loss: 1.225e+02, elps: 2.765
ep: 10, loss: 2.113e+00, elps: 2.594
ep: 20, loss: 8.622e-01, elps: 2.541
ep: 30, loss: 7.741e-01, elps: 2.557
ep: 40, loss: 7.448e-01, elps: 2.534
ep: 50, loss: 6.999e-01, elps: 2.531
ep: 60, loss: 6.032e-01, elps: 2.542
ep: 70, loss: 4.404e-01, elps: 2.537
ep: 80, loss: 3.231e-01, elps: 2.547
ep: 90, loss: 2.985e-01, elps: 2.654
ep: 100, loss: 2.910e-01, elps: 2.561
ep: 110, loss: 2.862e-01, elps: 2.605
ep: 120, loss: 2.852e-01, elps: 2.605
ep: 130, loss: 2.802e-01, elps: 2.597
ep: 140, loss: 2.781e-01, elps: 2.626
ep: 150, loss: 2.762e-01, elps: 2.582
ep: 160, loss: 2.720e-01, elps: 2.568
ep: 170, loss: 2.701e-01, elps: 2.593
ep: 180, loss: 2.708e-01, elps: 2.571
ep: 190, loss: 2.620e-01, elps: 2.573
ep: 200, loss: 2.604e-01, elps: 2.621
ep: 210, loss: 2.598e-01, elps: 2.540
ep: 220, loss: 2.578e-01, elps: 2.587
ep: 230, loss: 2.568e-01, elps: 2.585
ep: 240, loss: 2.547e-01, elps: 2.597
ep: 250, loss: 2.584e-01, elps: 2.564
ep: 260, loss: 2.475e-01, elps: 2.558
ep: 270, loss: 2.520e-01, elps: 2.564
ep: 280, loss: 2.487e-01, elps: 2.563
ep: 290, loss: 2.438e-01, elps: 2.584
ep: 300, loss: 2.415e-01, elps: 2.563
ep: 310, loss: 2.498e-01, elps: 2.600
ep: 320, loss: 2.387e-01, elps: 2.563
ep: 330, loss: 2.403e-01, elps: 2.573
ep: 340, loss: 2.639e-01, elps: 2.557
ep: 350, loss: 2.847e-01, elps: 2.577
ep: 360, loss: 2.330e-01, elps: 3.091
ep: 370, loss: 2.310e-01, elps: 2.889
ep: 380, loss: 2.431e-01, elps: 2.711
ep: 390, loss: 2.487e-01, elps: 2.699
ep: 400, loss: 2.231e-01, elps: 2.612
ep: 410, loss: 2.275e-01, elps: 2.588
ep: 420, loss: 2.217e-01, elps: 2.597
ep: 430, loss: 2.487e-01, elps: 2.566
ep: 440, loss: 2.236e-01, elps: 2.588
ep: 450, loss: 2.281e-01, elps: 2.581
ep: 460, loss: 2.040e-01, elps: 2.595
ep: 470, loss: 2.057e-01, elps: 2.562
ep: 480, loss: 2.119e-01, elps: 2.562
ep: 490, loss: 2.014e-01, elps: 2.572
ep: 500, loss: 2.028e-01, elps: 2.565
ep: 510, loss: 2.010e-01, elps: 2.524
ep: 520, loss: 2.064e-01, elps: 2.564
ep: 530, loss: 2.126e-01, elps: 2.558
ep: 540, loss: 2.261e-01, elps: 2.568
ep: 550, loss: 2.010e-01, elps: 2.570
ep: 560, loss: 1.904e-01, elps: 2.554
ep: 570, loss: 1.879e-01, elps: 2.548
ep: 580, loss: 2.118e-01, elps: 2.600
ep: 590, loss: 2.017e-01, elps: 2.593
ep: 600, loss: 1.983e-01, elps: 2.588
ep: 610, loss: 1.829e-01, elps: 2.573
ep: 620, loss: 1.888e-01, elps: 2.593
ep: 630, loss: 1.841e-01, elps: 2.551
ep: 640, loss: 1.794e-01, elps: 2.556
ep: 650, loss: 2.199e-01, elps: 2.549
ep: 660, loss: 1.842e-01, elps: 2.561
ep: 670, loss: 1.811e-01, elps: 2.610
ep: 680, loss: 1.883e-01, elps: 2.566
ep: 690, loss: 2.091e-01, elps: 2.567
ep: 700, loss: 2.085e-01, elps: 2.550
ep: 710, loss: 1.761e-01, elps: 2.576
ep: 720, loss: 1.746e-01, elps: 2.569
ep: 730, loss: 1.750e-01, elps: 2.607
ep: 740, loss: 1.822e-01, elps: 2.557
ep: 750, loss: 1.704e-01, elps: 2.562
ep: 760, loss: 1.718e-01, elps: 2.557
ep: 770, loss: 1.733e-01, elps: 2.627
ep: 780, loss: 1.769e-01, elps: 2.567
ep: 790, loss: 1.691e-01, elps: 2.560
ep: 800, loss: 1.663e-01, elps: 2.550
ep: 810, loss: 1.811e-01, elps: 2.593
ep: 820, loss: 1.693e-01, elps: 2.561
ep: 830, loss: 1.706e-01, elps: 2.566
ep: 840, loss: 1.714e-01, elps: 2.580
ep: 850, loss: 1.886e-01, elps: 2.541
ep: 860, loss: 1.762e-01, elps: 2.554
ep: 870, loss: 1.631e-01, elps: 2.557
ep: 880, loss: 1.850e-01, elps: 2.523
ep: 890, loss: 1.772e-01, elps: 2.554
ep: 900, loss: 1.660e-01, elps: 2.548
ep: 910, loss: 1.696e-01, elps: 2.564
ep: 920, loss: 1.555e-01, elps: 2.570
ep: 930, loss: 1.676e-01, elps: 2.564
ep: 940, loss: 1.515e-01, elps: 2.530
ep: 950, loss: 1.469e-01, elps: 2.560
