ep: 0, loss: 1.462e+02, elps: 2.094
ep: 10, loss: 3.259e+00, elps: 2.092
ep: 20, loss: 1.006e+00, elps: 2.155
ep: 30, loss: 8.113e-01, elps: 2.132
ep: 40, loss: 7.822e-01, elps: 2.173
ep: 50, loss: 7.641e-01, elps: 2.176
ep: 60, loss: 7.328e-01, elps: 2.141
ep: 70, loss: 6.632e-01, elps: 2.094
ep: 80, loss: 4.919e-01, elps: 2.254
ep: 90, loss: 3.203e-01, elps: 2.089
ep: 100, loss: 3.100e-01, elps: 2.115
ep: 110, loss: 3.032e-01, elps: 2.128
ep: 120, loss: 3.025e-01, elps: 2.105
ep: 130, loss: 2.993e-01, elps: 2.126
ep: 140, loss: 2.982e-01, elps: 2.195
ep: 150, loss: 2.984e-01, elps: 2.113
ep: 160, loss: 2.958e-01, elps: 2.149
ep: 170, loss: 2.941e-01, elps: 2.107
ep: 180, loss: 2.940e-01, elps: 2.129
ep: 190, loss: 2.862e-01, elps: 2.117
ep: 200, loss: 2.856e-01, elps: 2.096
ep: 210, loss: 2.821e-01, elps: 2.158
ep: 220, loss: 2.783e-01, elps: 2.143
ep: 230, loss: 2.737e-01, elps: 2.122
ep: 240, loss: 2.681e-01, elps: 2.129
ep: 250, loss: 2.625e-01, elps: 2.127
ep: 260, loss: 2.576e-01, elps: 2.135
ep: 270, loss: 2.528e-01, elps: 2.094
ep: 280, loss: 2.465e-01, elps: 2.139
ep: 290, loss: 2.409e-01, elps: 2.181
ep: 300, loss: 2.421e-01, elps: 2.147
ep: 310, loss: 2.364e-01, elps: 2.108
ep: 320, loss: 2.518e-01, elps: 2.108
ep: 330, loss: 2.282e-01, elps: 2.095
ep: 340, loss: 2.371e-01, elps: 2.181
ep: 350, loss: 2.256e-01, elps: 2.142
ep: 360, loss: 2.207e-01, elps: 2.116
ep: 370, loss: 2.149e-01, elps: 2.172
ep: 380, loss: 2.710e-01, elps: 2.147
ep: 390, loss: 2.138e-01, elps: 2.197
ep: 400, loss: 2.108e-01, elps: 2.468
ep: 410, loss: 2.200e-01, elps: 2.332
ep: 420, loss: 2.076e-01, elps: 2.258
ep: 430, loss: 2.360e-01, elps: 2.175
ep: 440, loss: 2.038e-01, elps: 2.153
ep: 450, loss: 2.357e-01, elps: 2.157
ep: 460, loss: 2.002e-01, elps: 2.184
ep: 470, loss: 2.138e-01, elps: 2.167
ep: 480, loss: 2.016e-01, elps: 2.179
ep: 490, loss: 2.691e-01, elps: 2.177
ep: 500, loss: 1.918e-01, elps: 2.173
ep: 510, loss: 1.930e-01, elps: 2.182
ep: 520, loss: 1.937e-01, elps: 2.215
