ep: 0, loss: 1.075e+00, elps: 1.728
ep: 10, loss: 5.193e-01, elps: 2.219
ep: 20, loss: 3.056e-01, elps: 1.359
ep: 30, loss: 3.063e-01, elps: 1.444
ep: 40, loss: 3.282e-01, elps: 1.459
ep: 50, loss: 3.195e-01, elps: 1.285
ep: 60, loss: 3.461e-01, elps: 1.281
ep: 70, loss: 3.316e-01, elps: 1.295
ep: 80, loss: 3.410e-01, elps: 1.281
ep: 90, loss: 3.422e-01, elps: 1.288
ep: 100, loss: 3.415e-01, elps: 1.268
ep: 110, loss: 3.339e-01, elps: 1.286
ep: 120, loss: 3.443e-01, elps: 1.285
ep: 130, loss: 3.442e-01, elps: 1.296
ep: 140, loss: 3.356e-01, elps: 1.284
ep: 150, loss: 3.607e-01, elps: 1.281
ep: 160, loss: 3.275e-01, elps: 1.271
ep: 170, loss: 3.446e-01, elps: 1.267
ep: 180, loss: 3.515e-01, elps: 1.260
ep: 190, loss: 3.503e-01, elps: 1.318
ep: 200, loss: 3.396e-01, elps: 1.271
ep: 210, loss: 3.618e-01, elps: 1.317
ep: 220, loss: 3.607e-01, elps: 1.267
ep: 230, loss: 3.503e-01, elps: 1.262
ep: 240, loss: 3.514e-01, elps: 1.287
ep: 250, loss: 3.663e-01, elps: 1.278
ep: 260, loss: 3.492e-01, elps: 1.290
ep: 270, loss: 3.407e-01, elps: 1.280
ep: 280, loss: 3.474e-01, elps: 1.275
ep: 290, loss: 3.432e-01, elps: 1.467
ep: 300, loss: 3.467e-01, elps: 1.288
ep: 310, loss: 3.689e-01, elps: 1.286
ep: 320, loss: 4.703e-01, elps: 1.280
ep: 330, loss: 3.497e-01, elps: 1.281
ep: 340, loss: 3.555e-01, elps: 1.287
ep: 350, loss: 3.548e-01, elps: 1.312
ep: 360, loss: 3.646e-01, elps: 1.290
ep: 370, loss: 3.506e-01, elps: 1.293
ep: 380, loss: 3.483e-01, elps: 1.288
ep: 390, loss: 3.500e-01, elps: 1.291
ep: 400, loss: 3.563e-01, elps: 1.272
ep: 410, loss: 3.585e-01, elps: 1.293
ep: 420, loss: 3.515e-01, elps: 1.283
ep: 430, loss: 3.460e-01, elps: 1.284
ep: 440, loss: 3.383e-01, elps: 1.310
ep: 450, loss: 3.508e-01, elps: 1.289
ep: 460, loss: 3.494e-01, elps: 1.271
ep: 470, loss: 3.570e-01, elps: 1.275
ep: 480, loss: 3.497e-01, elps: 1.363
ep: 490, loss: 3.581e-01, elps: 1.275
ep: 500, loss: 3.637e-01, elps: 1.270
ep: 510, loss: 3.566e-01, elps: 1.272
ep: 520, loss: 3.554e-01, elps: 1.275
ep: 530, loss: 3.523e-01, elps: 1.276
ep: 540, loss: 3.562e-01, elps: 1.287
ep: 550, loss: 4.196e-01, elps: 1.289
ep: 560, loss: 3.778e-01, elps: 1.277
ep: 570, loss: 3.599e-01, elps: 1.287
ep: 580, loss: 3.545e-01, elps: 1.270
ep: 590, loss: 3.598e-01, elps: 1.267
ep: 600, loss: 3.606e-01, elps: 1.264
ep: 610, loss: 3.608e-01, elps: 1.272
ep: 620, loss: 3.648e-01, elps: 1.270
ep: 630, loss: 3.614e-01, elps: 1.313
ep: 640, loss: 3.614e-01, elps: 1.324
ep: 650, loss: 3.573e-01, elps: 1.283
ep: 660, loss: 3.664e-01, elps: 1.440
ep: 670, loss: 3.602e-01, elps: 1.286
ep: 680, loss: 3.613e-01, elps: 1.273
ep: 690, loss: 3.593e-01, elps: 1.293
ep: 700, loss: 3.551e-01, elps: 1.264
ep: 710, loss: 3.595e-01, elps: 1.293
ep: 720, loss: 3.570e-01, elps: 1.288
ep: 730, loss: 3.559e-01, elps: 1.273
ep: 740, loss: 3.627e-01, elps: 1.271
ep: 750, loss: 3.637e-01, elps: 1.280
ep: 760, loss: 3.540e-01, elps: 1.287
ep: 770, loss: 3.590e-01, elps: 1.284
ep: 780, loss: 3.578e-01, elps: 1.285
ep: 790, loss: 3.600e-01, elps: 1.290
ep: 800, loss: 3.586e-01, elps: 1.283
ep: 810, loss: 3.645e-01, elps: 1.288
ep: 820, loss: 3.608e-01, elps: 1.296
ep: 830, loss: 3.609e-01, elps: 1.285
ep: 840, loss: 3.584e-01, elps: 1.295
ep: 850, loss: 3.638e-01, elps: 1.279
ep: 860, loss: 3.643e-01, elps: 1.283
ep: 870, loss: 3.611e-01, elps: 1.285
ep: 880, loss: 3.590e-01, elps: 1.277
ep: 890, loss: 3.575e-01, elps: 1.282
ep: 900, loss: 3.559e-01, elps: 1.283
ep: 910, loss: 3.533e-01, elps: 1.277
ep: 920, loss: 3.569e-01, elps: 1.305
ep: 930, loss: 3.606e-01, elps: 1.264
ep: 940, loss: 3.585e-01, elps: 1.263
ep: 950, loss: 3.644e-01, elps: 1.269
ep: 960, loss: 3.580e-01, elps: 1.291
ep: 970, loss: 3.637e-01, elps: 1.282
ep: 980, loss: 3.622e-01, elps: 1.268
ep: 990, loss: 3.651e-01, elps: 1.289
ep: 1000, loss: 3.618e-01, elps: 1.280
ep: 1010, loss: 3.621e-01, elps: 1.272
ep: 1020, loss: 3.587e-01, elps: 1.268
ep: 1030, loss: 3.615e-01, elps: 1.288
ep: 1040, loss: 3.672e-01, elps: 1.289
ep: 1050, loss: 3.619e-01, elps: 1.284
ep: 1060, loss: 3.631e-01, elps: 1.283
ep: 1070, loss: 3.660e-01, elps: 1.286
ep: 1080, loss: 3.656e-01, elps: 1.270
ep: 1090, loss: 3.634e-01, elps: 1.270
ep: 1100, loss: 3.630e-01, elps: 1.273
ep: 1110, loss: 3.568e-01, elps: 1.270
ep: 1120, loss: 3.646e-01, elps: 1.271
ep: 1130, loss: 3.657e-01, elps: 1.303
ep: 1140, loss: 3.626e-01, elps: 1.271
ep: 1150, loss: 3.613e-01, elps: 1.315
ep: 1160, loss: 3.629e-01, elps: 1.283
ep: 1170, loss: 3.643e-01, elps: 1.279
ep: 1180, loss: 3.654e-01, elps: 1.266
ep: 1190, loss: 3.602e-01, elps: 1.275
ep: 1200, loss: 3.618e-01, elps: 1.268
ep: 1210, loss: 3.600e-01, elps: 1.285
ep: 1220, loss: 3.642e-01, elps: 1.352
ep: 1230, loss: 3.730e-01, elps: 1.284
ep: 1240, loss: 3.561e-01, elps: 1.289
ep: 1250, loss: 3.572e-01, elps: 1.276
ep: 1260, loss: 3.657e-01, elps: 1.282
ep: 1270, loss: 3.641e-01, elps: 1.295
ep: 1280, loss: 3.568e-01, elps: 1.293
ep: 1290, loss: 3.646e-01, elps: 1.299
ep: 1300, loss: 3.610e-01, elps: 1.278
ep: 1310, loss: 3.994e-01, elps: 1.280
ep: 1320, loss: 3.647e-01, elps: 1.276
ep: 1330, loss: 3.605e-01, elps: 1.291
ep: 1340, loss: 3.608e-01, elps: 1.282
ep: 1350, loss: 3.589e-01, elps: 1.277
ep: 1360, loss: 3.606e-01, elps: 1.285
ep: 1370, loss: 3.550e-01, elps: 1.277
ep: 1380, loss: 3.555e-01, elps: 1.267
ep: 1390, loss: 3.673e-01, elps: 1.279
ep: 1400, loss: 3.615e-01, elps: 1.385
ep: 1410, loss: 3.658e-01, elps: 1.307
ep: 1420, loss: 3.588e-01, elps: 1.268
ep: 1430, loss: 3.561e-01, elps: 1.293
ep: 1440, loss: 3.564e-01, elps: 1.273
ep: 1450, loss: 3.616e-01, elps: 1.321
ep: 1460, loss: 3.628e-01, elps: 1.288
ep: 1470, loss: 3.574e-01, elps: 1.258
ep: 1480, loss: 3.506e-01, elps: 1.279
ep: 1490, loss: 3.813e-01, elps: 1.286
ep: 1500, loss: 3.574e-01, elps: 1.274
ep: 1510, loss: 3.522e-01, elps: 1.282
ep: 1520, loss: 3.598e-01, elps: 1.280
ep: 1530, loss: 3.536e-01, elps: 1.291
ep: 1540, loss: 3.505e-01, elps: 1.287
ep: 1550, loss: 3.631e-01, elps: 1.275
ep: 1560, loss: 3.506e-01, elps: 1.285
ep: 1570, loss: 3.588e-01, elps: 1.285
ep: 1580, loss: 3.629e-01, elps: 1.281
ep: 1590, loss: 3.608e-01, elps: 1.285
ep: 1600, loss: 3.566e-01, elps: 1.288
ep: 1610, loss: 3.563e-01, elps: 1.279
ep: 1620, loss: 3.549e-01, elps: 1.277
ep: 1630, loss: 3.566e-01, elps: 1.270
ep: 1640, loss: 3.499e-01, elps: 1.273
ep: 1650, loss: 3.644e-01, elps: 1.282
ep: 1660, loss: 3.596e-01, elps: 1.270
ep: 1670, loss: 3.614e-01, elps: 1.296
ep: 1680, loss: 3.687e-01, elps: 1.301
ep: 1690, loss: 3.523e-01, elps: 1.347
ep: 1700, loss: 3.576e-01, elps: 1.308
ep: 1710, loss: 3.523e-01, elps: 1.301
ep: 1720, loss: 3.539e-01, elps: 1.286
ep: 1730, loss: 3.582e-01, elps: 1.377
ep: 1740, loss: 3.599e-01, elps: 1.394
ep: 1750, loss: 3.581e-01, elps: 1.379
ep: 1760, loss: 3.679e-01, elps: 1.296
ep: 1770, loss: 3.698e-01, elps: 1.309
ep: 1780, loss: 3.649e-01, elps: 1.299
ep: 1790, loss: 3.586e-01, elps: 1.285
ep: 1800, loss: 3.536e-01, elps: 1.286
ep: 1810, loss: 3.595e-01, elps: 1.287
ep: 1820, loss: 3.520e-01, elps: 1.280
ep: 1830, loss: 3.477e-01, elps: 1.283
ep: 1840, loss: 3.516e-01, elps: 1.292
ep: 1850, loss: 3.616e-01, elps: 1.276
ep: 1860, loss: 3.568e-01, elps: 1.274
ep: 1870, loss: 3.632e-01, elps: 1.271
ep: 1880, loss: 3.564e-01, elps: 1.272
ep: 1890, loss: 3.640e-01, elps: 1.294
ep: 1900, loss: 3.597e-01, elps: 1.276
ep: 1910, loss: 3.650e-01, elps: 1.291
