ep: 0, loss: 2.479e+01, elps: 2.645
ep: 10, loss: 1.181e+00, elps: 2.512
ep: 20, loss: 1.007e+00, elps: 2.241
ep: 30, loss: 1.003e+00, elps: 2.270
ep: 40, loss: 1.002e+00, elps: 2.247
ep: 50, loss: 1.000e+00, elps: 2.235
ep: 60, loss: 1.000e+00, elps: 2.229
ep: 70, loss: 9.999e-01, elps: 2.222
ep: 80, loss: 9.998e-01, elps: 2.257
ep: 90, loss: 9.996e-01, elps: 2.267
ep: 100, loss: 9.992e-01, elps: 2.276
ep: 110, loss: 9.984e-01, elps: 2.231
ep: 120, loss: 9.961e-01, elps: 2.237
ep: 130, loss: 9.850e-01, elps: 2.264
ep: 140, loss: 9.198e-01, elps: 2.256
ep: 150, loss: 7.245e-01, elps: 2.277
ep: 160, loss: 6.253e-01, elps: 2.330
ep: 170, loss: 6.168e-01, elps: 2.312
ep: 180, loss: 6.118e-01, elps: 2.385
ep: 190, loss: 6.102e-01, elps: 2.263
ep: 200, loss: 6.087e-01, elps: 2.317
ep: 210, loss: 6.074e-01, elps: 2.254
ep: 220, loss: 6.053e-01, elps: 2.252
ep: 230, loss: 6.017e-01, elps: 2.246
ep: 240, loss: 5.944e-01, elps: 2.264
ep: 250, loss: 5.815e-01, elps: 2.268
ep: 260, loss: 5.401e-01, elps: 2.245
ep: 270, loss: 4.448e-01, elps: 2.351
ep: 280, loss: 3.238e-01, elps: 2.300
ep: 290, loss: 2.349e-01, elps: 2.289
ep: 300, loss: 2.461e-01, elps: 2.290
ep: 310, loss: 2.048e-01, elps: 2.307
ep: 320, loss: 1.889e-01, elps: 2.294
ep: 330, loss: 1.801e-01, elps: 2.313
ep: 340, loss: 1.786e-01, elps: 2.300
ep: 350, loss: 1.856e-01, elps: 2.329
ep: 360, loss: 1.703e-01, elps: 2.296
ep: 370, loss: 1.713e-01, elps: 2.295
ep: 380, loss: 1.746e-01, elps: 3.089
ep: 390, loss: 1.580e-01, elps: 2.352
ep: 400, loss: 1.791e-01, elps: 2.392
ep: 410, loss: 1.601e-01, elps: 2.324
ep: 420, loss: 1.602e-01, elps: 2.363
ep: 430, loss: 1.535e-01, elps: 2.586
ep: 440, loss: 1.504e-01, elps: 2.345
ep: 450, loss: 1.611e-01, elps: 2.410
ep: 460, loss: 1.501e-01, elps: 2.293
ep: 470, loss: 1.544e-01, elps: 2.294
ep: 480, loss: 1.598e-01, elps: 2.356
ep: 490, loss: 1.522e-01, elps: 2.273
ep: 500, loss: 1.655e-01, elps: 2.294
ep: 510, loss: 1.525e-01, elps: 2.410
ep: 520, loss: 1.504e-01, elps: 2.308
ep: 530, loss: 1.466e-01, elps: 2.369
ep: 540, loss: 1.464e-01, elps: 2.281
ep: 550, loss: 1.545e-01, elps: 2.253
ep: 560, loss: 1.687e-01, elps: 2.305
ep: 570, loss: 1.425e-01, elps: 2.299
ep: 580, loss: 1.341e-01, elps: 2.279
ep: 590, loss: 2.283e-01, elps: 2.243
ep: 600, loss: 1.534e-01, elps: 2.266
ep: 610, loss: 1.582e-01, elps: 2.252
ep: 620, loss: 1.500e-01, elps: 2.238
ep: 630, loss: 1.323e-01, elps: 2.228
ep: 640, loss: 1.303e-01, elps: 2.241
ep: 650, loss: 1.420e-01, elps: 2.249
ep: 660, loss: 1.861e-01, elps: 2.253
ep: 670, loss: 1.800e-01, elps: 2.223
ep: 680, loss: 1.452e-01, elps: 2.240
ep: 690, loss: 1.311e-01, elps: 2.219
ep: 700, loss: 1.365e-01, elps: 2.288
ep: 710, loss: 1.530e-01, elps: 2.269
ep: 720, loss: 1.421e-01, elps: 2.227
ep: 730, loss: 1.408e-01, elps: 2.274
ep: 740, loss: 1.772e-01, elps: 2.226
ep: 750, loss: 1.647e-01, elps: 2.220
ep: 760, loss: 1.574e-01, elps: 2.249
ep: 770, loss: 1.280e-01, elps: 2.267
ep: 780, loss: 1.215e-01, elps: 2.228
ep: 790, loss: 1.357e-01, elps: 2.295
ep: 800, loss: 1.179e-01, elps: 2.273
ep: 810, loss: 1.226e-01, elps: 2.251
ep: 820, loss: 1.153e-01, elps: 2.230
ep: 830, loss: 1.206e-01, elps: 2.264
ep: 840, loss: 1.163e-01, elps: 2.247
ep: 850, loss: 1.207e-01, elps: 2.248
ep: 860, loss: 1.738e-01, elps: 2.255
ep: 870, loss: 1.822e-01, elps: 2.274
ep: 880, loss: 1.342e-01, elps: 2.231
ep: 890, loss: 1.133e-01, elps: 2.226
ep: 900, loss: 1.168e-01, elps: 2.242
ep: 910, loss: 2.871e-01, elps: 2.252
ep: 920, loss: 1.491e-01, elps: 2.243
ep: 930, loss: 1.198e-01, elps: 2.248
ep: 940, loss: 1.242e-01, elps: 2.245
ep: 950, loss: 1.053e-01, elps: 2.227
ep: 960, loss: 1.972e-01, elps: 2.245
